"subjectID","NEOFFI01","NEOFFI02","NEOFFI03","NEOFFI04","NEOFFI05","NEOFFI06","NEOFFI07","NEOFFI08","NEOFFI09","NEOFFI10","NEOFFI11","NEOFFI12","NEOFFI13","NEOFFI14","NEOFFI15","NEOFFI16","NEOFFI17","NEOFFI18","NEOFFI19","NEOFFI20","NEOFFI21","NEOFFI22","NEOFFI23","NEOFFI24","NEOFFI25","NEOFFI26","NEOFFI27","NEOFFI28","NEOFFI29","NEOFFI30","NEOFFI31","NEOFFI32","NEOFFI33","NEOFFI34","NEOFFI35","NEOFFI36","NEOFFI37","NEOFFI38","NEOFFI39","NEOFFI40","NEOFFI41","NEOFFI42","NEOFFI43","NEOFFI44","NEOFFI45","NEOFFI46","NEOFFI47","NEOFFI48","NEOFFI49","NEOFFI50","NEOFFI51","NEOFFI52","NEOFFI53","NEOFFI54","NEOFFI55","NEOFFI56","NEOFFI57","NEOFFI58","NEOFFI59","NEOFFI60","NEOFFI61","NEOFFI62","NEOFFI63","NEOFFI64","NEOFFI65","NEOFFI66","PID5BF01","PID5BF02","PID5BF03","PID5BF04","PID5BF05","PID5BF06","PID5BF07","PID5BF08","PID5BF09","PID5BF10","PID5BF11","PID5BF12","PID5BF13","PID5BF14","PID5BF15","PID5BF16","PID5BF17","PID5BF18","PID5BF19","PID5BF20","PID5BF21","PID5BF22","PID5BF23","PID5BF24","PID5BF25","PID5BF26","PID5BF27","PID5BF28","PID5BF29","PID5BF30","PID5BF31","PID5BF32","PID5BF33","PID5BF34","PID5BF35","PID5BF36","NEOneuro","NEOextra","NEOoff","NEOvertr","NEOgew","PIDNegativeAffect","PIDDetachment","PIDAntagonism","PIDDisinhibition","PIDPsychoticism","PIDAnankastia","Sex","Age","Edu","Occupation"
"10SMR",3,3,3,4,3,2,4,4,2,0,1,3,3,1,3,1,3,4,3,2,0,3,0,0,1,3,0,4,0,0,1,0,4,3,1,1,3,4,1,3,1,2,1,0,2,2,1,3,3,1,2,1,3,2,2,0,4,3,1,1,0,4,2,2,3,1,0,3,0,3,2,1,1,3,0,0,3,3,0,0,2,3,1,1,1,2,0,2,1,2,0,3,1,1,2,2,0,0,3,3,2,2,19,30,36,25,21,2,6,11,6,11,11,0.5,19,"abitur","0"
"10SSW",2,1,3,3,0,2,2,4,3,4,2,3,1,3,4,2,1,3,1,3,2,1,2,3,4,0,1,1,2,3,2,1,1,2,4,2,3,4,1,3,0,2,1,1,3,1,1,4,3,3,1,2,4,2,4,1,0,4,2,3,1,2,2,2,2,3,1,1,3,3,2,2,2,1,0,0,2,2,1,1,1,2,0,3,0,1,1,1,0,3,2,1,0,1,2,0,0,1,0,1,0,1,19,20,32,32,40,6,5,6,5,6,11,0.5,18,"abitur","0"
"10WEI",1,2,3,4,3,1,3,0,4,3,0,3,3,3,3,3,3,3,3,4,3,3,0,4,3,0,3,3,2,1,1,2,4,3,3,2,3,4,4,0,0,2,2,2,2,1,3,1,3,2,2,2,2,2,2,3,1,3,2,2,0,1,2,2,1,2,1,2,0,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,19,31,28,39,30,12,7,13,10,12,12,-0.5,24,"bachelor","2"
"11BSM",2,0,1,3,2,1,3,3,4,3,1,2,3,4,3,3,2,4,3,2,1,1,3,2,2,0,2,0,3,1,2,1,3,2,2,1,3,4,3,3,1,3,2,2,1,2,1,3,2,2,1,1,3,1,3,3,3,2,4,3,3,3,2,3,3,2,1,0,1,2,2,1,1,1,0,1,1,0,2,0,0,1,0,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,1,0,2,21,25,31,41,29,5,6,1,3,3,5,0.5,23,"bachelor","1"
"11CUT",1,1,1,4,2,1,3,2,4,3,2,3,1,4,2,2,2,3,4,4,3,0,1,3,2,3,1,1,3,1,2,1,3,3,2,1,3,3,3,3,1,3,1,2,3,3,3,2,3,3,2,1,2,3,2,3,1,1,3,1,2,2,1,3,2,1,1,1,1,2,2,1,2,1,1,1,0,1,2,0,2,2,1,1,1,0,0,1,2,1,2,1,1,1,0,0,0,0,2,1,1,1,27,24,21,44,29,8,5,3,7,6,5,0.5,22,"abitur","0"
"11DBM",2,3,2,3,3,1,4,4,2,3,1,3,2,4,1,3,3,3,2,3,1,3,4,3,3,0,2,3,3,1,4,3,4,3,2,3,3,4,4,3,1,3,1,2,3,2,3,4,3,3,1,4,3,4,3,2,3,3,4,1,3,2,3,1,3,0,2,0,1,0,2,0,0,0,0,0,0,1,1,0,2,0,0,1,2,0,0,0,1,0,0,1,1,0,1,0,0,0,3,1,2,2,22,40,37,42,32,5,0,1,7,6,4,0.5,19,"abitur","0"
"11DBW",1,2,3,4,4,1,3,3,3,3,2,3,3,3,3,3,3,4,4,4,3,2,3,3,3,0,3,0,3,3,3,1,4,3,3,3,2,4,4,4,2,2,3,3,3,3,1,3,4,3,3,2,3,1,3,4,1,2,3,1,1,4,3,2,3,3,3,1,0,1,1,0,3,2,1,1,0,1,1,0,1,0,1,0,3,0,0,0,0,0,2,2,1,1,1,0,0,0,1,0,1,1,30,28,35,46,40,12,3,5,4,4,2,0.5,20,"abitur","0"
"11FCM",4,3,3,4,2,0,3,1,4,3,0,1,3,3,4,1,4,4,4,4,1,1,1,3,4,0,3,4,3,3,0,3,2,4,4,1,4,4,2,4,1,4,1,1,4,0,0,2,3,3,0,3,4,4,3,1,4,1,2,2,3,2,3,0,3,3,0,2,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,36,30,45,43,1,1,4,3,1,2,-0.5,25,"bachelor","0"
"11GEC",3,3,1,3,2,1,3,2,2,3,3,2,1,3,2,1,3,3,3,3,3,1,2,3,3,1,3,3,3,1,3,1,1,3,3,2,3,3,3,3,1,2,1,2,3,2,1,2,3,3,3,4,4,1,3,3,2,2,3,4,1,3,3,1,3,1,1,2,1,1,1,3,2,1,1,1,1,3,2,2,1,0,0,2,2,1,1,0,1,2,1,1,2,1,1,1,0,1,1,0,0,2,27,31,25,37,36,8,3,8,7,4,13,0.5,22,"abitur","0"
"11KTV",0,3,3,4,3,1,3,3,3,2,0,4,3,3,2,1,3,3,3,3,1,3,3,3,2,0,1,3,3,2,2,1,4,4,2,0,3,3,4,3,0,3,4,3,1,1,1,4,3,2,0,2,4,3,3,3,3,4,3,2,3,2,2,0,3,2,0,0,1,2,3,0,1,1,0,0,2,1,1,0,1,0,3,2,0,0,0,1,2,0,0,1,1,0,1,0,0,0,1,0,3,0,9,33,41,46,29,2,3,2,4,14,3,-0.5,23,"abitur","0"
